R163	USEFUL	两极对局结果，可检索的行为对比
R164	USEFUL	从真实缺口而非声明起点回填，含重启洞见
R165	USEFUL	六局收官比较表，轴分离弱于luna-max
R166	USEFUL	文档审阅发现三处问题，待修
R167	USEFUL	v9特质核公式采纳，形容词禁令解除
R168	USEFUL	领地规则洞见+修复三处失效教学文本
R169	USEFUL	证据双重投影量化，轴测量偏差
R170	MUST	用户纠正：settlement可自由铸造车道
R171	MUST	0.8.0发布：任务因果分级上线，cutoff锁定
R172	USEFUL	盲评发现3处清晰度问题，均已修
R173	USEFUL	ep01回放审计发现4处问题
R174	USEFUL	100/100批次通过，含退避策略教训
R175	NO	恢复--with-source标志，纯实现
R176	USEFUL	N08轴测量边界确定（精明/严谨/协作）
R177	MUST	食材模型裁定：配方归持有者，引擎不掌管
R178	USEFUL	Opus交付验证，接受若干设计偏差
R179	USEFUL	AgentLoop每反应一次架构裁定，拒常驻挂起
R180	USEFUL	意外未查证据先归因，过程教训
R181	USEFUL	S15440回填完成，recency饥饿仍在
R182	MUST	D6被用户砍掉，spec Rev2+8票落地
R183	NO	换了对比卡片，编辑性调整
R184	NO	验证跑已启动，结果未出
R185	USEFUL	灰色三方争用色板，裁定归属+洞见
R186	NO	54/54批次收官，例行
R187	USEFUL	校验批次分离真实/prompt诱导信号，纠正误诊
R188	MUST	用户质疑后架构逆转：单会话两轮取代两段式
R189	USEFUL	反对开杂谈车道的论证+洞见
R190	MUST	0.7.1发布，测试隔离事故完全闭环
R191	USEFUL	同行评审四轮未过，3+1项确认，票16派发
R192	USEFUL	结算批次收官，容器票集中改一文件
R193	MUST	用户重定义稳重轴=生活方式register
R194	USEFUL	两份rubric对指标口径分歧，厘清+洞见
R195	MUST	v3.1轴registry定版，16轴
R196	USEFUL	事件/角色/事实数据模型裁定
R197	MUST	用户裁定：turn-only收窄归schema层
R198	USEFUL	祥子v75测量：效率型保守+身份渗透
R199	USEFUL	草稿边+图编码三项裁定
R200	USEFUL	同行发现经实测裁决，一个升级为阻断
R201	MUST	用户裁定评价即停终止M13V3机制
R202	USEFUL	门禁-引擎顺序解答+影子态设计
R203	NO	选中态UI bug根因+修复，范围窄
R204	USEFUL	v7.3验证探索守旧轴修复生效，轴线收敛
R205	USEFUL	v76全景：3新轴满量程，扩展裁定落地
R206	USEFUL	建议废弃judge_done，尚为提案未裁定
R207	USEFUL	票06验证完成+watchdog时序模式发现
R208	USEFUL	实测否决自己提出的排序键调换
R209	MUST	0.15.0发布：indexes改名+law-8节点集
R210	USEFUL	friction-report落地验证+排序分歧待裁
R211	MUST	用户裁定一菜+枚举参数+食物实体，已认可
R212	NO	写了个跑图脚本，纯实现
R213	USEFUL	改名裁定已批准应用+重复失误提醒
