D001	arch	yes	6步编译+15动词工具集边界
D002	impl	yes	新建runner脚本避免污染实验
D003	arch	yes	卡片投影范围收窄
D004	arch	yes	4层轴注册表按数据分级
D005	spec	yes	规格英文化+翻译定版
D006	arch	yes	锁定4类演员工具集
D007	review	yes	评审裁决8P1+9P2并派发
D008	arch	yes	卡景兼容3类+槽位前提
D009	spec	yes	收据裁剪票裁定
D010	arch	yes	删范围子句消除重叠
D011	spec	yes	检查器裁为4类报告
D012	arch	yes	笔记字段职责重分
D013	arch	yes	有效性=正效果,校准延后
D014	arch	yes	探针重设计:识别≠构造
D015	arch	yes	工具集按卡非通用
D016	arch	yes	四个小说压测设计问题
D017	arch	yes	车道=单标签,声明门槛
D018	arch	yes	两段式点击交互裁定
D019	arch	yes	标签写入收归工具形状
D020	arch	yes	回放留技能,新增内进程接口
D021	review	no	裁定实现对错非设计分叉
D022	analysis	yes	通道碰撞根因+第三dash值
D023	arch	yes	动作空间投影字段边界
D024	arch	yes	车道标签存在即结构
D025	arch	yes	游戏作环境非种子源
D026	spec	no	票据发布落地,压缩非取舍
D027	ops	yes	派发真实边重建,非模拟
D028	spec	yes	控制台接线规格发布
D029	arch	yes	角色取材规则+kill-gate
D030	other	yes	拒用泄露源码,重申引用集
