R109	USEFUL	轴覆盖率结果，后续被v3.5取代
R110	MUST	发布0.17.0+护栏盲区重大发现
R111	MUST	用户裁定v5为定版评分口径
R112	MUST	锁定MVP范围，弃分段/跨场景记忆
R113	USEFUL	收敛判据不可满足，可检索
R114	USEFUL	轴判别力+引擎bug发现
R115	USEFUL	控制台解析失败bug+修复
R116	USEFUL	P02修复战役收口验证
R117	USEFUL	澄清response/transcript区别
R118	USEFUL	文本长度非证据，倾向N13
R119	USEFUL	HEXACO审计发现悬空路由
R120	USEFUL	v74卡schema与用户敲定
R121	MUST	纠正分页默认值僭越为设计
R122	NO	单点成本测量，无裁定
R123	USEFUL	集合字段只写不编辑的裁定
R124	USEFUL	三处轴改动获批，后被v3.5吸收
R125	NO	发出评审请求，纯过程
R126	NO	伪代码填充，可从代码重建
R127	NO	措辞润色，无实质决策
R128	USEFUL	判定机制退役，架构迁移完成
R129	USEFUL	稳定矩阵落地，多数投票校验
R130	USEFUL	质量阶梯验证+空闲风险浮现
R131	MUST	narrate去主体化的架构裁定
R132	USEFUL	三提取器对比，数据可检索
R133	USEFUL	合并派工+规范中的隐性错误
R134	USEFUL	装配接口裁定，消灭手工拼接
R135	MUST	FLOW概念统一+rubric v9定版
R136	USEFUL	轴registry v3.5落地，综合里程碑
R137	USEFUL	权威知识须写入declaration
R138	USEFUL	断裂车道教学工单获批
R139	USEFUL	上线后体检，E67阻塞待处理
R140	USEFUL	三通道视觉方案获采纳
R141	USEFUL	worker拒绝了我编造的验收标准
R142	USEFUL	纪元授权落点验证，细节可查代码
R143	USEFUL	本研究自身设计说明，方法论记录
R144	NO	纯进度播报，窗口调度
R145	USEFUL	终局验证+双你前缀回归修复
R146	USEFUL	新旧分裂只在会话弧面，回答提问
R147	USEFUL	评审收官，7个工单发布
R148	MUST	用户裁定卡schema迭代收口
R149	USEFUL	维护提醒指向缺失判据的文档
R150	MUST	严格携带语义裁定，波及23处
R151	MUST	发布0.23.0
R152	USEFUL	实现--axes读卡而非源文本
R153	MUST	轴管线端到端验证，宣告里程碑
R154	MUST	用户裁定整体移植v9 prompt
R155	USEFUL	轻量评审批次收口，判断获批
R156	USEFUL	缝合分支首次生产验证
R157	USEFUL	引用闸时序缺口，发现即修复
R158	USEFUL	基础动词验证，留一开放问题
R159	MUST	用户抓到实现删除了裁决保留的能力
R160	USEFUL	排序决策解开发布死锁
R161	MUST	发布0.22.0，批量架构变更
R162	USEFUL	轴替换决定，后被v3.5吸收
