D001	USEFUL	直方图证伪饥饿误读，属可复算的校正
D002	MUST	用户立规：无匹配须问，不得默认留空
D003	USEFUL	交付验收与已知雷点，属过程结果
D004	USEFUL	发版收口，可从 git 恢复
D005	USEFUL	摩擦字段裁定：必填、仅入日志
D006	USEFUL	定价选型，可重算的取舍
D007	USEFUL	轴评估与引擎裁定，细节可查
D008	NO	派工加补写内容，纯执行播报
D009	MUST	队列调度替代提示补丁的根因改造
D010	USEFUL	权限边界校正，可回读工具文案
D011	MUST	事件行改统一机器日志，格式换血
D012	MUST	v7 十二轴定版与伪装重锚
D013	USEFUL	注入面已退休的更正与拆票
D014	USEFUL	单卡成本，给批次定了价
D015	USEFUL	场景规则升级，属草案迭代
D016	USEFUL	同行复核通过与批量应用
D017	USEFUL	派发测量并钉陷阱，属方法交代
D018	MUST	第三处铸名破坏不变式，数据损坏
D019	USEFUL	少数时刻评分口径，轴定义迭代
D020	USEFUL	验收加测试加固
D021	USEFUL	线宽改键，局部 UI 裁定
D022	USEFUL	续接循环交付验收
D023	MUST	81% 卡片被术语污染，前期产物作废
D024	USEFUL	三条渲染与命名裁定，范围较窄
D025	USEFUL	探针分布结果
D026	USEFUL	票 02 验收与死码退休
D027	NO	回填窗口派发与文档编辑
D028	USEFUL	实现与承诺不符的两条口径裁定
D029	MUST	纪元过滤才是空里程碑真因，原计划作废
D030	USEFUL	编译与实跑结果验证
D031	USEFUL	只读演示服务器，选型可从脚本重建
D032	NO	纯派发播报
D033	USEFUL	v76 注册表落地与重投影
D034	MUST	预算即席位数的用户定版裁定
D035	NO	实现落地，代码可重建
D036	USEFUL	改名而非拆分的裁定
D037	USEFUL	假停滞与驱动改造
D038	MUST	计价器高估英文三倍，利用率结论作废
D039	MUST	纪元授予按窗口覆盖的语义定版
D040	NO	作业提交与修复轮播报
